Student_ID,Gender,Ethnicity,Scholarship,Label,Recommendation,Instructor_Note
S001,Male,Other,Yes,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S002,Male,White,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S003,Male,Hispanic,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S004,Female,Hispanic,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S005,Female,Hispanic,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S006,Male,Hispanic,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S007,Non-binary,Asian,Yes,Crisis,"Immediate intervention: schedule meeting, connect with advisor or counselor.",Student is disengaged early. May need academic and emotional support.
S008,Female,Asian,Yes,Crisis,"Immediate intervention: schedule meeting, connect with advisor or counselor.",Student is disengaged early. May need academic and emotional support.
S009,Non-binary,White,No,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S010,Female,White,No,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S011,Non-binary,White,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S012,Female,Hispanic,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S013,Non-binary,Black,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S014,Non-binary,Asian,No,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S015,Male,Hispanic,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S016,Male,White,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S017,Non-binary,Asian,Yes,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S018,Non-binary,Black,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S019,Male,Hispanic,No,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S020,Non-binary,Black,Yes,Crisis,"Immediate intervention: schedule meeting, connect with advisor or counselor.",Student is disengaged early. May need academic and emotional support.
S021,Non-binary,White,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S022,Male,Hispanic,No,Crisis,"Immediate intervention: schedule meeting, connect with advisor or counselor.",Student is disengaged early. May need academic and emotional support.
S023,Female,Black,No,Drift,Mid-semester check-in; offer time management tips and study group options.,Performance starts strong but declines. Prevent further drop.
S024,Non-binary,White,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S025,Non-binary,White,Yes,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
S026,Non-binary,Black,No,Normal,Congratulate on consistent performance.,Stable performance. Encourage continued success or leadership roles.
